2018-05-21 21:29:25:775	1526909365775	*	*	0.0	*	*	*
2018-05-21 21:29:30:903	1526909370903	171.46545	2.352293	0.0	-0.2809074	0.95973486	0.0
2018-05-21 21:29:35:948	1526909375948	164.98526	2.134751	0.0	0.96174544	-0.2739447	0.0
2018-05-21 21:29:41:017	1526909381017	164.86592	2.243263	0.0	-0.9977268	0.067388564	0.0
2018-05-21 21:29:46:062	1526909386062	163.77394	2.268549	0.0	-0.41709477	-0.908863	0.0
2018-05-21 21:29:51:108	1526909391108	165.45674	2.108013	0.0	-0.35308498	-0.9355912	0.0
2018-05-21 21:29:56:155	1526909396155	163.36824	2.269474	0.0	-0.96264946	-0.27075085	0.0
2018-05-21 21:30:01:206	1526909401206	163.36824	2.269474	0.0	-0.91955864	-0.3929528	0.0
2018-05-21 21:30:06:247	1526909406247	163.36824	2.269474	0.0	-0.91047	-0.41357508	0.0
2018-05-21 21:30:11:287	1526909411287	*	*	0.0	-0.25146428	0.9678666	0.0
2018-05-21 21:30:16:345	1526909416345	166.83948	1.548388	0.0	-0.19617543	0.9805688	0.0
2018-05-21 21:30:21:390	1526909421390	183.30377	2.464911	0.0	0.5458382	-0.8378906	0.0
2018-05-21 21:30:26:438	1526909426438	173.66087	2.130065	0.0	0.9980694	-0.06210824	0.0
2018-05-21 21:30:31:506	1526909431506	155.12167	2.179151	0.0	0.23722401	0.971455	0.0
2018-05-21 21:30:36:541	1526909436541	173.85463	2.071454	0.0	-0.257427	0.96629775	0.0
2018-05-21 21:30:41:603	1526909441603	175.27684	1.901479	0.0	-0.7454375	-0.66657555	0.0
2018-05-21 21:30:46:632	1526909446632	186.83514	1.934591	0.0	0.8379574	0.54573566	0.0
2018-05-21 21:30:51:686	1526909451686	130.94022	1.363591	0.0	-0.21533225	0.9765408	0.0
2018-05-21 21:30:56:709	1526909456709	161.31651	1.916305	0.0	-0.56505954	-0.8250501	0.0
2018-05-21 21:31:01:738	1526909461738	186.02063	1.417708	0.0	0.7774205	-0.6289812	0.0
2018-05-21 21:31:06:789	1526909466789	170.0354	2.040758	0.0	0.8768924	-0.48068672	0.0
2018-05-21 21:31:11:812	1526909471812	175.43369	1.891313	0.0	-0.958412	-0.2853883	0.0
2018-05-21 21:31:16:828	1526909476828	178.55257	1.464228	0.0	0.4778001	0.8784686	0.0
2018-05-21 21:31:21:850	1526909481850	173.1034	1.466943	0.0	-0.9682491	-0.24998748	0.0
2018-05-21 21:31:26:865	1526909486865	177.1978	1.57259	0.0	-0.21363144	0.97691435	0.0
2018-05-21 21:31:31:882	1526909491882	165.76265	1.5122373	0.0	-0.833159	-0.5530335	0.0
2018-05-21 21:31:36:896	1526909496896	172.55809	1.696563	0.0	-0.6648858	-0.746945	0.0
2018-05-21 21:31:41:914	1526909501914	162.93385	1.598587	0.0	0.88956606	0.45680654	0.0
2018-05-21 21:31:46:928	1526909506928	181.9162	2.049935	0.0	-0.90956026	-0.41557202	0.0
2018-05-21 21:31:51:943	1526909511943	167.53271	1.775581	0.0	0.5752621	0.8179691	0.0
2018-05-21 21:31:56:958	1526909516958	179.25682	1.977161	0.0	-0.59540707	-0.8034242	0.0
2018-05-21 21:32:01:978	1526909521978	179.25682	1.977161	0.0	-0.67071784	0.74171257	0.0
2018-05-21 21:32:06:997	1526909526997	178.7683	1.9496303	0.0	0.9469539	0.32136947	0.0
2018-05-21 21:32:12:016	1526909532016	172.0965	2.27349	0.0	-0.9998925	-0.014664705	0.0
