2018-05-19 14:02:38:788	1526709758788	*	*	0.0	*	*	*
2018-05-19 14:07:44:951	1526710064951	251.99239	0.85307	0.0	0.79045534	-0.6125197	0.0
2018-05-19 14:07:49:972	1526710069972	265.66525	1.041874	0.0	0.6491605	0.76065147	0.0
2018-05-19 14:07:54:992	1526710074992	278.96967	0.902331	0.0	0.99876416	0.04970046	0.0
2018-05-19 14:08:00:014	1526710080014	256.43713	1.157398	0.0	-0.6062575	-0.7952684	0.0
2018-05-19 14:08:05:034	1526710085034	260.60535	0.984767	0.0	-0.7743108	0.6328054	0.0
2018-05-19 14:08:10:055	1526710090055	272.9945	1.138538	0.0	0.8948016	-0.44646397	0.0
2018-05-19 14:08:15:084	1526710095084	272.60895	0.891273	0.0	0.7455377	0.66646343	0.0
2018-05-19 14:08:20:115	1526710100115	271.82504	1.044788	0.0	0.9603904	0.27865806	0.0
2018-05-19 14:08:25:140	1526710105140	265.98114	1.064589	0.0	0.99700207	-0.07737486	0.0
2018-05-19 14:08:30:158	1526710110158	277.93063	1.1259	0.0	-0.99243426	-0.12277725	0.0
2018-05-19 14:08:35:181	1526710115181	90.37656	1.322889	0.0	0.9456613	-0.32515335	0.0
2018-05-19 14:08:40:214	1526710120214	90.37656	1.322889	0.0	-0.8379221	0.54578984	0.0
2018-05-19 14:08:45:231	1526710125231	88.15999	1.1065043	0.0	0.99588823	0.09059032	0.0
2018-05-19 14:08:50:250	1526710130250	87.78895	1.731481	0.0	0.5885086	-0.80849093	0.0
2018-05-19 14:08:55:269	1526710135269	85.76886	1.074769	0.0	-0.47596186	-0.8794659	0.0
2018-05-19 14:09:00:292	1526710140292	80.31455	1.074531	0.0	0.53576565	-0.8443667	0.0
2018-05-19 14:09:05:312	1526710145312	93.32924	1.106715	0.0	-0.4875037	-0.8731209	0.0
2018-05-19 14:09:10:328	1526710150328	73.14763	0.977925	0.0	-0.76967764	0.63843274	0.0
2018-05-19 14:09:15:342	1526710155342	59.446938	1.260791	0.0	-0.1227688	0.9924353	0.0
2018-05-19 14:09:20:356	1526710160356	72.6407	1.108015	0.0	0.8607928	0.5089555	0.0
2018-05-19 14:09:25:366	1526710165366	84.83608	1.036705	0.0	-0.99329436	0.115612894	0.0
2018-05-19 14:09:30:380	1526710170380	77.049034	0.997275	0.0	-0.99851525	0.054472912	0.0
2018-05-19 14:09:35:394	1526710175394	104.666626	2.578254	0.0	0.93083596	0.36543724	0.0
2018-05-19 14:09:40:412	1526710180412	71.93796	1.387996	0.0	-0.5075196	0.8616402	0.0
2018-05-19 14:09:45:430	1526710185430	81.22362	1.004552	0.0	0.9950186	0.09968953	0.0
2018-05-19 14:09:50:444	1526710190444	92.77437	1.271147	0.0	0.8202785	0.57196426	0.0
2018-05-19 14:09:55:470	1526710195470	62.108204	1.447881	0.0	-0.11391097	0.993491	0.0
2018-05-19 14:10:00:483	1526710200483	88.11099	1.339236	0.0	0.9793489	-0.20217748	0.0
2018-05-19 14:10:05:497	1526710205497	74.5456	1.010749	0.0	0.9956627	-0.09303648	0.0
2018-05-19 14:10:10:510	1526710210510	80.072784	1.289591	0.0	-0.9201654	0.3915298	0.0
2018-05-19 14:10:15:525	1526710215525	71.63564	1.310285	0.0	-0.99501604	-0.099714935	0.0
2018-05-19 14:10:20:539	1526710220539	73.21643	1.284701	0.0	0.11862275	0.9929394	0.0
2018-05-19 14:10:25:556	1526710225556	73.497765	1.048762	0.0	0.81958663	-0.5729553	0.0
2018-05-19 14:10:30:574	1526710230574	70.42896	1.234053	0.0	0.77070814	0.6371883	0.0
2018-05-19 14:10:35:589	1526710235589	73.79877	1.235254	0.0	0.44505283	0.8955043	0.0
2018-05-19 14:10:40:604	1526710240604	80.45103	1.216077	0.0	-0.81475735	0.5798021	0.0
2018-05-19 14:10:45:626	1526710245626	66.24878	1.407005	0.0	0.7443933	0.6677414	0.0
2018-05-19 14:10:50:643	1526710250643	70.32077	1.318747	0.0	-0.95567495	-0.29442388	0.0
2018-05-19 14:10:55:661	1526710255661	66.87696	1.073721	0.0	0.50447977	0.8634235	0.0
2018-05-19 14:11:00:681	1526710260681	78.2181	1.326509	0.0	0.50560075	-0.8627675	0.0
2018-05-19 14:11:05:699	1526710265699	69.173386	1.300732	0.0	0.9592066	-0.28270608	0.0
2018-05-19 14:11:10:717	1526710270717	55.951004	1.19433	0.0	0.91193616	-0.4103321	0.0
2018-05-19 14:11:15:756	1526710275756	52.337784	1.328032	0.0	0.98340684	-0.1814139	0.0
2018-05-19 14:11:20:771	1526710280771	56.443455	1.435467	0.0	0.99555916	0.09413798	0.0
2018-05-19 14:11:25:785	1526710285785	43.246212	1.243096	0.0	0.9911119	0.1330311	0.0
2018-05-19 14:11:30:804	1526710290804	53.133213	1.130215	0.0	-0.58747095	0.8092453	0.0
2018-05-19 14:11:35:819	1526710295819	48.007847	1.532442	0.0	-0.9999965	-0.002652046	0.0
2018-05-19 14:11:40:840	1526710300840	69.69579	0.977726	0.0	0.34072596	0.94016266	0.0
2018-05-19 14:11:45:863	1526710305863	59.359035	1.25746	0.0	0.599557	-0.80033207	0.0
2018-05-19 14:11:50:884	1526710310884	66.72873	1.57246	0.0	0.9709343	0.23934624	0.0
2018-05-19 14:11:55:920	1526710315920	49.33708	1.325401	0.0	-0.5543298	-0.8322971	0.0
2018-05-19 14:12:00:948	1526710320948	46.600945	1.23709	0.0	0.8482065	-0.52966565	0.0
2018-05-19 14:12:05:974	1526710325974	51.554707	1.459056	0.0	-0.29753718	-0.95471025	0.0
2018-05-19 14:12:10:997	1526710330997	41.78301	1.036496	0.0	-0.067162886	0.997742	0.0
2018-05-19 14:12:16:021	1526710336021	56.37697	1.328265	0.0	0.5065262	-0.8622246	0.0
2018-05-19 14:12:21:042	1526710341042	54.500046	1.53642	0.0	0.45702454	-0.88945407	0.0
2018-05-19 14:12:26:061	1526710346061	46.71492	1.195815	0.0	0.99144983	-0.1304883	0.0
2018-05-19 14:12:31:085	1526710351085	58.4235	1.204957	0.0	-0.10321888	-0.99465865	0.0
2018-05-19 14:12:36:110	1526710356110	57.625458	1.389466	0.0	0.64314413	0.76574516	0.0
2018-05-19 14:12:41:132	1526710361132	41.840225	1.293557	0.0	-0.16459167	0.9863618	0.0
2018-05-19 14:12:46:163	1526710366163	33.993717	1.432555	0.0	0.73848754	-0.6742671	0.0
2018-05-19 14:12:51:193	1526710371193	48.21098	1.520207	0.0	0.9981421	0.060928617	0.0
2018-05-19 14:12:56:215	1526710376215	48.842213	1.350818	0.0	0.982873	0.18428414	0.0
2018-05-19 14:13:01:232	1526710381232	48.786125	1.275205	0.0	-0.77818775	0.62803173	0.0
2018-05-19 14:13:06:245	1526710386245	46.910023	1.239937	0.0	-0.5150125	-0.8571827	0.0
2018-05-19 14:13:11:259	1526710391259	48.6354	1.165858	0.0	0.69733053	0.7167497	0.0
2018-05-19 14:13:16:278	1526710396278	48.520115	1.236955	0.0	0.6217944	-0.78318053	0.0
2018-05-19 14:13:21:293	1526710401293	46.7306	1.297342	0.0	0.9935352	0.11352434	0.0
2018-05-19 14:13:26:307	1526710406307	40.76738	1.494705	0.0	-0.9289544	0.37019408	0.0
2018-05-19 14:13:31:321	1526710411321	45.11725	1.111416	0.0	-0.37279737	0.9279128	0.0
2018-05-19 14:13:36:337	1526710416337	49.329826	1.087503	0.0	-0.3370955	-0.94147044	0.0
2018-05-19 14:13:41:352	1526710421352	60.460594	1.131939	0.0	-0.8571352	-0.51509154	0.0
2018-05-19 14:13:46:366	1526710426366	54.690548	1.30947	0.0	-0.82256156	-0.56867605	0.0
2018-05-19 14:13:51:383	1526710431383	43.33428	1.131765	0.0	-0.972899	-0.23123044	0.0
2018-05-19 14:13:56:399	1526710436399	65.96702	1.291359	0.0	-0.9032839	-0.42904338	0.0
2018-05-19 14:14:01:415	1526710441415	69.74454	0.85761	0.0	-0.35658443	-0.9342631	0.0
2018-05-19 14:14:06:428	1526710446428	59.19608	1.076822	0.0	-0.81963664	0.5728837	0.0
2018-05-19 14:14:11:442	1526710451442	148.27654	1.358843	0.0	0.99810016	0.06161202	0.0
2018-05-19 14:14:16:460	1526710456460	159.84085	0.944724	0.0	0.9921907	0.12473006	0.0
2018-05-19 14:14:21:479	1526710461479	159.84085	0.944724	0.0	0.9977629	-0.06685175	0.0
