2018-05-19 13:32:44:473	1526707964473	*	*	0.0	*	*	*
2018-05-19 13:37:50:802	1526708270802	112.01058	1.991117	0.0	-0.8616943	-0.50742775	0.0
2018-05-19 13:37:55:816	1526708275816	111.308334	1.996002	0.0	-0.56116086	0.8277068	0.0
2018-05-19 13:38:00:834	1526708280834	114.32624	2.228193	0.0	0.4476905	0.8941886	0.0
2018-05-19 13:38:05:849	1526708285849	107.88031	1.951687	0.0	0.9680038	0.25093547	0.0
2018-05-19 13:38:10:863	1526708290863	105.325806	2.124405	0.0	0.54069555	0.84121835	0.0
2018-05-19 13:38:15:889	1526708295889	102.46332	2.262165	0.0	-0.5721172	-0.8201719	0.0
2018-05-19 13:38:20:920	1526708300920	98.921135	2.098954	0.0	0.92521006	0.37945533	0.0
2018-05-19 13:38:25:946	1526708305946	72.264206	1.69904	0.0	-0.99709123	0.07621725	0.0
2018-05-19 13:38:30:968	1526708310968	97.3276	1.784959	0.0	-0.4475413	-0.89426327	0.0
2018-05-19 13:38:35:988	1526708315988	92.09269	2.230474	0.0	-0.54222935	0.8402305	0.0
2018-05-19 13:38:41:013	1526708321013	94.75444	1.910162	0.0	-0.8305083	-0.5570063	0.0
2018-05-19 13:38:46:034	1526708326034	85.981094	1.93625	0.0	-0.27830377	0.9604931	0.0
2018-05-19 13:38:51:052	1526708331052	94.718475	1.712849	0.0	-0.85077566	0.5255291	0.0
2018-05-19 13:38:56:066	1526708336066	87.76517	1.724447	0.0	0.49121937	0.8710359	0.0
2018-05-19 13:39:01:088	1526708341088	81.42402	1.76283	0.0	0.5164406	0.856323	0.0
2018-05-19 13:39:06:105	1526708346105	78.59261	1.628997	0.0	-0.36950627	-0.92922825	0.0
2018-05-19 13:39:11:125	1526708351125	73.631004	1.997702	0.0	-0.9996853	-0.025085969	0.0
2018-05-19 13:39:16:144	1526708356144	75.66703	1.915833	0.0	-0.7633167	0.64602447	0.0
2018-05-19 13:39:21:169	1526708361169	83.058945	1.912021	0.0	-0.07769759	0.996977	0.0
2018-05-19 13:39:26:185	1526708366185	80.19655	1.7932	0.0	0.786807	-0.61719906	0.0
2018-05-19 13:39:31:204	1526708371204	66.80954	2.065713	0.0	-0.71370673	0.70044464	0.0
2018-05-19 13:39:36:222	1526708376222	81.746895	1.951176	0.0	0.14922401	0.9888034	0.0
2018-05-19 13:39:41:242	1526708381242	74.592384	2.073881	0.0	0.9625564	0.27108142	0.0
2018-05-19 13:39:46:262	1526708386262	78.47384	2.427022	0.0	-0.7662677	-0.64252144	0.0
2018-05-19 13:39:51:283	1526708391283	74.81233	2.609177	0.0	-0.39776927	0.9174855	0.0
2018-05-19 13:39:56:309	1526708396309	76.378006	2.492374	0.0	-0.57836825	-0.8157758	0.0
2018-05-19 13:40:01:330	1526708401330	54.96222	2.450184	0.0	-0.8646904	-0.50230515	0.0
2018-05-19 13:40:06:359	1526708406359	64.57051	2.42188	0.0	-0.9614335	0.27503762	0.0
2018-05-19 13:40:11:382	1526708411382	53.19488	2.329838	0.0	-0.89351547	0.44903243	0.0
2018-05-19 13:40:16:409	1526708416409	49.36557	2.089096	0.0	-0.71991587	-0.69406134	0.0
2018-05-19 13:40:21:431	1526708421431	62.800632	2.697688	0.0	-0.9962242	-0.08681766	0.0
2018-05-19 13:40:26:462	1526708426462	51.825428	2.396877	0.0	-0.69570065	0.7183318	0.0
2018-05-19 13:40:31:487	1526708431487	56.02478	2.450263	0.0	-0.8768554	0.48075423	0.0
2018-05-19 13:40:36:508	1526708436508	45.42635	2.69159	0.0	0.6088808	-0.7932617	0.0
2018-05-19 13:40:41:528	1526708441528	43.17758	2.714043	0.0	-0.8993593	0.43721032	0.0
2018-05-19 13:40:46:564	1526708446564	54.598312	2.531821	0.0	0.8972898	-0.44144195	0.0
2018-05-19 13:40:51:611	1526708451611	47.52967	2.408894	0.0	-0.42141423	0.9068683	0.0
2018-05-19 13:40:56:640	1526708456640	46.203045	2.456039	0.0	0.48497903	-0.8745258	0.0
2018-05-19 13:41:01:670	1526708461670	70.41026	1.825891	0.0	0.18503365	0.9827322	0.0
