1526707959533	117.16410221778867	31.905292968301712	1.4343923	0.0
1526707962239	117.17153445753462	31.901195995274925	3.6000004	0.0
1526707967618	117.171378137	31.901142451	2.03598	0.0
1526707972621	117.171232526	31.901060639	2.783485	229.63985
1526707977631	117.171115982	31.900986557	2.215536	224.00873
1526707982637	117.171007068	31.900918149	2.6116	251.01768
1526707987645	117.170884722	31.900847059	2.923933	232.93968
1526707992646	117.170765227	31.900764923	2.524503	226.07353
1526707997629	117.170683798	31.900676848	2.049751	232.82806
1526708002654	117.170575003	31.900638031	2.496612	239.47386
1526708007636	117.170450281	31.900589512	2.845583	235.75757
1526708012643	117.170338733	31.900517116	2.626915	231.29152
1526708017633	117.170221079	31.900449558	2.14298	231.34059
1526708022633	117.170115326	31.90037939	2.323911	232.6135
1526708027631	117.170001709	31.900315862	2.524116	233.3579
1526708032647	117.169886045	31.900249856	2.892661	235.6362
1526708037624	117.169767309	31.900188805	2.420027	236.25856
1526708042635	117.169654834	31.900126022	2.632403	230.30653
1526708047647	117.169546252	31.900057199	2.376211	245.51985
1526708052620	117.169414962	31.900014253	2.321777	258.13498
1526708057651	117.169278969	31.899974968	2.543741	250.34622
1526708062629	117.169149018	31.899940299	2.616028	254.42825
1526708067614	117.16901824	31.899916954	2.254138	254.20982
1526708072617	117.168887844	31.899895365	2.716852	256.82114
1526708077631	117.168741143	31.899859981	2.655965	254.22508
1526708082625	117.168605222	31.89982969	1.522133	229.98328
1526708087623	117.168485017	31.899785737	2.415585	275.67172
1526708092624	117.168345516	31.899774653	2.423963	264.4419
1526708097630	117.168217301	31.899766003	2.002012	262.09198
1526708102623	117.168085186	31.899751976	2.157206	260.37616
1526708107619	117.167946117	31.899739444	2.283372	265.24567
1526708112635	117.167801957	31.899735013	2.258657	262.54837
1526708117616	117.16765114	31.899733398	2.265955	278.43262
1526708122664	117.167514085	31.899728124	2.310858	267.69043
1526708127622	117.167379058	31.899734938	2.240981	275.04947
1526708132640	117.167245612	31.899747302	2.240479	278.44525
1526708137623	117.167121073	31.899773747	2.020702	283.59814
1526708142638	117.166999565	31.89979736	2.242592	284.37286
1526708147631	117.166895539	31.899828746	0.590275	295.2987
1526708159637	117.166818436	31.899847685	2.606902	290.76752
1526708164654	117.166681701	31.899890539	2.321073	287.3196
1526708169618	117.166553871	31.899937341	2.000632	298.42603
1526708174626	117.166422966	31.899982683	2.189942	292.65338
1526708179633	117.16629895	31.90003222	2.070888	299.10748
1526708184645	117.166184623	31.900086515	2.140979	305.85596
1526708189633	117.166069891	31.900158237	2.280503	305.23825
1526708194614	117.165943078	31.90022348	2.623358	290.58917
1526708199615	117.1658501	31.900290884	2.205477	301.5606
1526708204616	117.165741468	31.90035554	1.915212	305.06595
1526708209644	117.165616625	31.900409743	1.881873	297.02542
1526708214637	117.165497038	31.900474636	2.013756	302.92798
1526708219639	117.165388094	31.900545528	2.141002	303.08966
1526708224633	117.165300811	31.900578715	0.715246	268.21722
1526708229630	117.16539746	31.900511066	2.509019	124.63718
1526708234624	117.165499371	31.90043702	1.913573	119.83435
1526708239624	117.165593553	31.900375528	2.122819	121.0722
1526708244628	117.165693759	31.900314394	2.035832	118.654076
1526708249615	117.165800745	31.900246947	1.813203	129.30675
1526708254622	117.165917444	31.900177746	2.040008	125.791756
1526708259635	117.166026978	31.900100863	2.064254	120.356705
1526708264614	117.166122961	31.9000446	1.64204	130.17221
1526708269612	117.166221479	31.899991334	1.991117	112.01058
1526708274615	117.166345903	31.899949976	1.996002	111.308334
1526708279616	117.166472083	31.899909411	2.228193	114.32624
1526708284624	117.166608433	31.899865081	1.951687	107.88031
1526708289613	117.166740967	31.899833522	2.124405	105.325806
1526708294628	117.166877269	31.899797437	2.262165	102.46332
1526708299663	117.16701419	31.899766933	2.098954	98.921135
1526708304619	117.167142592	31.89975651	1.69904	72.264206
1526708309621	117.167270266	31.899742489	1.784959	97.3276
1526708314632	117.167401429	31.899719013	2.230474	92.09269
1526708319629	117.167530349	31.899703497	1.910162	94.75444
1526708324632	117.167643811	31.899693069	1.93625	85.981094
1526708329625	117.167759254	31.899687686	1.712849	94.718475
1526708334649	117.167861575	31.899684255	1.724447	87.76517
1526708339615	117.167982935	31.899693732	1.76283	81.42402
1526708344618	117.168112228	31.899712807	1.628997	78.59261
1526708349619	117.168247018	31.899735777	1.997702	73.631004
1526708354619	117.168386066	31.899757026	1.915833	75.66703
1526708359629	117.168523522	31.899772955	1.912021	83.058945
1526708364620	117.168637077	31.899798876	1.7932	80.19655
1526708369662	117.168763212	31.899829841	2.065713	66.80954
1526708374636	117.16888318	31.899847684	1.951176	81.746895
1526708379625	117.169015321	31.899871201	2.073881	74.592384
1526708384625	117.169158365	31.89989864	2.427022	78.47384
1526708389632	117.169313891	31.899931197	2.609177	74.81233
1526708394651	117.169466678	31.899963609	2.492374	76.378006
1526708399627	117.169604864	31.900018029	2.450184	54.96222
1526708404624	117.169714864	31.900087269	2.42188	64.57051
1526708409637	117.169829483	31.900158751	2.329838	53.19488
1526708414625	117.169933667	31.900233991	2.089096	49.36557
1526708419625	117.170054847	31.900301384	2.697688	62.800632
1526708424634	117.170175433	31.900371026	2.396877	51.825428
1526708429624	117.17029429	31.900434802	2.450263	56.02478
1526708434634	117.170410232	31.900494912	2.69159	45.42635
1526708439626	117.170515072	31.900559247	2.714043	43.17758
1526708444629	117.170608504	31.900626038	2.531821	54.598312
1526708449622	117.170716606	31.900691131	2.408894	47.52967
1526708454636	117.170825004	31.900765371	2.456039	46.203045
