2018-05-19 14:32:34:971	1526711554971	*	*	0.0	*	*	*
2018-05-19 14:32:40:105	1526711560105	131.84517	0.978471	0.0	-0.3018067	-0.95336914	0.0
2018-05-19 14:32:45:154	1526711565154	131.84517	0.757695	0.0	0.99689686	-0.0787186	0.0
2018-05-19 14:32:50:194	1526711570194	351.45087	2.514022	0.0	-0.70276153	-0.7114255	0.0
2018-05-19 14:32:55:225	1526711575225	346.9516	2.660618	0.0	0.789481	0.613775	0.0
2018-05-19 14:33:00:265	1526711580265	2.035377	2.796926	0.0	0.95730907	0.2890663	0.0
2018-05-19 14:33:05:316	1526711585316	15.159945	2.543773	0.0	0.83220404	0.55446947	0.0
2018-05-19 14:33:10:378	1526711590378	5.731261	2.381236	0.0	0.8792461	0.47636777	0.0
2018-05-19 14:33:15:424	1526711595424	12.486612	2.479729	0.0	0.7814988	0.62390673	0.0
2018-05-19 14:33:20:439	1526711600439	6.044925	2.179638	0.0	-0.57680196	0.81688404	0.0
2018-05-19 14:33:25:488	1526711605488	7.436654	2.261653	0.0	-0.77616566	-0.63052905	0.0
2018-05-19 14:33:30:527	1526711610527	0.841342	2.30038	0.0	0.8306238	0.556834	0.0
2018-05-19 14:33:35:571	1526711615571	7.558513	2.283514	0.0	-0.9326123	-0.3608799	0.0
2018-05-19 14:33:40:608	1526711620608	2.025987	2.197454	0.0	0.676698	0.7362607	0.0
2018-05-19 14:33:45:647	1526711625647	1.521731	2.690766	0.0	0.99988663	-0.0150577575	0.0
2018-05-19 14:33:50:700	1526711630700	358.2077	2.692134	0.0	-0.9601523	-0.27947727	0.0
2018-05-19 14:33:55:737	1526711635737	350.6419	3.063761	0.0	-0.97635704	-0.21616416	0.0
2018-05-19 14:34:00:784	1526711640784	334.9034	3.467703	0.0	-0.89608437	-0.44388378	0.0
2018-05-19 14:34:05:885	1526711645885	335.00586	2.849772	0.0	0.99249214	0.12230836	0.0
2018-05-19 14:34:10:921	1526711650921	335.51263	2.005779	0.0	0.99790865	0.06464012	0.0
2018-05-19 14:34:15:947	1526711655947	341.78192	2.400866	0.0	0.9794705	-0.20158759	0.0
2018-05-19 14:34:20:966	1526711660966	331.2944	3.42283	0.0	-0.9960063	-0.08928273	0.0
2018-05-19 14:34:25:987	1526711665987	331.94937	2.836794	0.0	-0.4018329	-0.915713	0.0
2018-05-19 14:34:31:018	1526711671018	324.1955	3.538691	0.0	-0.9974932	-0.07076246	0.0
2018-05-19 14:34:36:040	1526711676040	318.94907	3.336666	0.0	-0.98926294	0.14614667	0.0
2018-05-19 14:34:41:065	1526711681065	314.97247	3.269831	0.0	-0.989199	0.14657895	0.0
2018-05-19 14:34:46:091	1526711686091	304.18362	3.155107	0.0	-0.62629086	0.7795895	0.0
2018-05-19 14:34:51:115	1526711691115	288.56305	3.387599	0.0	-0.42621833	0.9046203	0.0
2018-05-19 14:34:56:149	1526711696149	307.75427	2.453661	0.0	-0.75586694	0.65472525	0.0
2018-05-19 14:35:01:169	1526711701169	283.05988	2.751804	0.0	-0.998638	0.052174743	0.0
2018-05-19 14:35:06:210	1526711706210	278.22437	2.950283	0.0	0.6720915	-0.7404681	0.0
2018-05-19 14:35:11:234	1526711711234	272.1749	2.853701	0.0	0.35903102	-0.93332565	0.0
2018-05-19 14:35:16:268	1526711716268	261.16165	1.951587	0.0	-0.2671329	0.9636597	0.0
2018-05-19 14:35:21:309	1526711721309	258.22278	2.5237	0.0	-0.72703755	-0.6865977	0.0
2018-05-19 14:35:26:353	1526711726353	280.03647	2.747306	0.0	0.08782653	-0.9961358	0.0
2018-05-19 14:35:31:387	1526711731387	271.16632	2.519719	0.0	-0.55865514	0.82940006	0.0
2018-05-19 14:35:36:410	1526711736410	260.87872	2.667874	0.0	0.18000932	-0.98366493	0.0
2018-05-19 14:35:41:431	1526711741431	250.80635	2.394476	0.0	-0.21603835	0.9763849	0.0
2018-05-19 14:35:46:453	1526711746453	260.6784	2.227862	0.0	-0.3682884	0.9297116	0.0
2018-05-19 14:35:51:474	1526711751474	263.9601	2.721237	0.0	0.11420241	-0.9934575	0.0
2018-05-19 14:35:56:496	1526711756496	277.22073	2.878128	0.0	-0.5180843	0.8553296	0.0
2018-05-19 14:36:01:516	1526711761516	285.69833	2.974455	0.0	0.10752199	-0.99420273	0.0
2018-05-19 14:36:06:544	1526711766544	284.08548	3.107426	0.0	0.81947434	-0.5731159	0.0
2018-05-19 14:36:11:566	1526711771566	310.04794	3.235215	0.0	-0.061741125	-0.9980922	0.0
2018-05-19 14:36:16:600	1526711776600	298.45453	3.379026	0.0	0.78620815	-0.61796176	0.0
2018-05-19 14:36:21:626	1526711781626	284.94455	2.889729	0.0	0.100734495	-0.99491334	0.0
2018-05-19 14:36:26:655	1526711786655	303.00247	1.873877	0.0	-0.123986825	0.9922839	0.0
2018-05-19 14:36:31:672	1526711791672	313.16675	2.944175	0.0	-0.9079718	0.41903132	0.0
2018-05-19 14:36:36:707	1526711796707	298.9388	2.751786	0.0	0.7848838	-0.619643	0.0
2018-05-19 14:36:41:749	1526711801749	294.05634	2.769751	0.0	-0.8646253	0.50241727	0.0
2018-05-19 14:36:46:779	1526711806779	298.1343	2.883634	0.0	0.8200158	-0.5723409	0.0
2018-05-19 14:36:51:801	1526711811801	299.3399	3.162968	0.0	-0.5989839	0.8007611	0.0
2018-05-19 14:36:56:837	1526711816837	302.58734	2.667026	0.0	0.74114853	-0.67134106	0.0
2018-05-19 14:37:01:864	1526711821864	288.2365	2.100593	0.0	-0.62663335	0.7793142	0.0
2018-05-19 14:37:06:886	1526711826886	289.05685	2.871228	0.0	0.7003858	-0.7137645	0.0
2018-05-19 14:37:11:914	1526711831914	324.4391	2.855702	0.0	-0.7957403	0.605638	0.0
2018-05-19 14:37:16:958	1526711836958	310.25232	3.247213	0.0	0.8494918	-0.52760184	0.0
2018-05-19 14:37:21:984	1526711841984	318.26804	3.131055	0.0	-0.9172125	0.39839837	0.0
2018-05-19 14:37:27:008	1526711847008	330.7177	2.950078	0.0	0.993035	-0.11781954	0.0
2018-05-19 14:37:32:028	1526711852028	350.8042	2.469604	0.0	-0.96295136	0.26967517	0.0
2018-05-19 14:37:37:067	1526711857067	338.3712	2.728534	0.0	0.98162246	0.19083335	0.0
2018-05-19 14:37:42:117	1526711862117	331.04263	3.164212	0.0	-0.9960468	-0.08883029	0.0
2018-05-19 14:37:47:164	1526711867164	350.97833	2.590104	0.0	0.993089	0.11736361	0.0
2018-05-19 14:37:52:215	1526711872215	342.35425	2.834858	0.0	-0.75807446	-0.65216804	0.0
2018-05-19 14:37:57:248	1526711877248	337.63345	2.824174	0.0	-0.99989456	0.014521751	0.0
2018-05-19 14:38:02:281	1526711882281	344.4879	2.287869	0.0	0.81008947	0.5863063	0.0
2018-05-19 14:38:07:316	1526711887316	348.10153	2.279281	0.0	-0.9858985	-0.16734447	0.0
2018-05-19 14:38:12:348	1526711892348	344.4627	2.519099	0.0	0.9982623	-0.05892697	0.0
2018-05-19 14:38:17:368	1526711897368	330.95654	2.635197	0.0	-0.9847721	0.17385042	0.0
2018-05-19 14:38:22:398	1526711902398	348.0031	3.09017	0.0	0.99546874	0.09508956	0.0
2018-05-19 14:38:27:420	1526711907420	338.5441	2.538542	0.0	-0.99067754	-0.13622785	0.0
2018-05-19 14:38:32:445	1526711912445	338.1104	2.135241	0.0	0.9865709	0.16333355	0.0
2018-05-19 14:38:37:467	1526711917467	325.26743	2.443463	0.0	-0.90416825	0.42717654	0.0
2018-05-19 14:38:42:493	1526711922493	308.315	2.061736	0.0	-0.933822	0.35773808	0.0
2018-05-19 14:38:47:514	1526711927514	272.8748	2.460504	0.0	0.41382113	-0.9103582	0.0
2018-05-19 14:38:52:535	1526711932535	181.76657	2.93915	0.0	0.6750495	0.73777246	0.0
2018-05-19 14:38:57:561	1526711937561	173.6183	2.24823	0.0	-0.92476076	-0.38054898	0.0
2018-05-19 14:39:02:599	1526711942599	279.11142	3.24324	0.0	0.44005126	-0.89797264	0.0
2018-05-19 14:39:07:637	1526711947637	265.73053	3.145765	0.0	0.4400121	-0.89799184	0.0
2018-05-19 14:39:12:686	1526711952686	276.5884	2.768011	0.0	0.29075462	-0.95679766	0.0
2018-05-19 14:39:17:710	1526711957710	268.57635	2.813423	0.0	-0.3631255	0.9317402	0.0
2018-05-19 14:39:22:735	1526711962735	257.26743	2.459957	0.0	-0.13244885	0.99118984	0.0
2018-05-19 14:39:27:751	1526711967751	257.26743	2.459957	0.0	-0.07762598	-0.9969826	0.0
