2018-05-23 10:59:55:171	1527044395171	*	*	0.0	*	*	*
2018-05-23 11:00:00:214	1527044400214	*	*	0.0	0.9975479	0.06998665	0.0
2018-05-23 11:00:05:356	1527044405356	271.13223	8.098064	0.0	0.9958125	0.0914195	0.0
2018-05-23 11:00:10:391	1527044410391	255.25012	2.9243436	0.0	-0.83435404	-0.55122894	0.0
2018-05-23 11:00:15:486	1527044415486	215.56448	0.0	0.0	0.39727482	0.9176997	0.0
2018-05-23 11:00:20:551	1527044420551	215.56448	0.0	0.0	*	*	*
2018-05-23 11:00:25:634	1527044425634	215.56448	0.0	0.0	*	*	*
2018-05-23 11:00:30:713	1527044430713	*	*	0.0	*	*	*
2018-05-23 11:00:35:781	1527044435781	*	*	0.0	*	*	*
2018-05-23 11:00:40:829	1527044440829	*	*	0.0	-0.25663006	-0.9665097	0.0
2018-05-23 11:00:45:886	1527044445886	274.44855	0.0	0.0	0.6254474	0.78026634	0.0
2018-05-23 11:00:50:945	1527044450945	264.2295	7.33184	0.0	-0.38890937	-0.92127603	0.0
2018-05-23 11:00:56:057	1527044456057	269.24835	7.18658	0.0	0.8582095	-0.5132996	0.0
2018-05-23 11:01:01:106	1527044461106	267.4004	9.985606	0.0	0.7958161	0.60553837	0.0
2018-05-23 11:01:06:168	1527044466168	269.70203	10.937554	0.0	0.46800783	0.88372433	0.0
2018-05-23 11:01:11:236	1527044471236	276.22113	5.253578	0.0	-0.4798231	0.87736523	0.0
2018-05-23 11:01:16:293	1527044476293	135.9093	1.26816	0.0	-0.045741897	-0.9989533	0.0
2018-05-23 11:01:21:351	1527044481351	87.88798	0.0	0.0	-0.09600047	-0.9953813	0.0
2018-05-23 11:01:26:405	1527044486405	221.22835	3.616004	0.0	-0.7261592	-0.6875266	0.0
2018-05-23 11:01:31:475	1527044491475	261.5988	5.539957	0.0	0.6795036	0.73367214	0.0
2018-05-23 11:01:36:512	1527044496512	266.61316	3.358569	0.0	-0.11858929	-0.9929434	0.0
2018-05-23 11:01:41:535	1527044501535	268.60153	7.08613	0.0	-0.268055	-0.96340364	0.0
2018-05-23 11:01:46:558	1527044506558	269.1141	10.369138	0.0	0.33067298	0.94374543	0.0
