2018-05-19 12:27:35:009	1526704055009	*	*	0.0	*	*	*
2018-05-19 12:27:40:055	1526704060055	*	*	0.0	-0.3468371	-0.9379254	0.0
2018-05-19 12:27:45:131	1526704065131	135.76674	1.057025	0.0	0.8415389	-0.5401965	0.0
2018-05-19 12:27:50:180	1526704070180	119.58041	1.306379	0.0	0.56224936	0.8269678	0.0
2018-05-19 12:27:55:261	1526704075261	122.64619	1.201714	0.0	-0.96682215	-0.25545043	0.0
2018-05-19 12:28:00:288	1526704080288	119.95042	1.072225	0.0	-0.24200696	-0.9702745	0.0
2018-05-19 12:28:05:378	1526704085378	118.46586	0.835351	0.0	-0.9026352	0.43040642	0.0
2018-05-19 12:28:10:436	1526704090436	118.776566	1.31545	0.0	-0.9341628	0.35684717	0.0
2018-05-19 12:28:15:490	1526704095490	101.504326	1.074118	0.0	0.962774	-0.27030778	0.0
2018-05-19 12:28:20:529	1526704100529	101.795296	0.895485	0.0	-0.6495497	0.7603191	0.0
2018-05-19 12:28:25:564	1526704105564	99.06778	1.122851	0.0	0.86493456	0.50188464	0.0
2018-05-19 12:28:30:610	1526704110610	102.760376	1.054965	0.0	-0.13806236	0.99042356	0.0
2018-05-19 12:28:35:655	1526704115655	102.12815	1.30636	0.0	-0.30385977	-0.95271677	0.0
2018-05-19 12:28:40:696	1526704120696	86.92088	1.29175	0.0	0.68313885	0.7302885	0.0
2018-05-19 12:28:45:736	1526704125736	102.02938	1.603956	0.0	-0.80876034	0.58813834	0.0
2018-05-19 12:28:50:775	1526704130775	93.24369	1.195968	0.0	0.26992378	0.9628817	0.0
2018-05-19 12:28:55:810	1526704135810	95.683	0.822031	0.0	0.84816444	-0.529733	0.0
2018-05-19 12:29:00:850	1526704140850	91.3858	0.858398	0.0	0.59205973	0.8058941	0.0
2018-05-19 12:29:05:910	1526704145910	94.15617	1.04249	0.0	0.90768415	0.419654	0.0
2018-05-19 12:29:10:953	1526704150953	90.867516	0.997648	0.0	-0.14826268	0.988948	0.0
2018-05-19 12:29:15:984	1526704155984	76.39287	0.878462	0.0	0.99708474	0.07630205	0.0
2018-05-19 12:29:20:997	1526704160997	78.128975	1.024112	0.0	-0.29780674	-0.9546262	0.0
2018-05-19 12:29:26:005	1526704166005	95.29806	0.984123	0.0	0.17245491	0.9850174	0.0
2018-05-19 12:29:31:026	1526704171026	79.706726	1.080555	0.0	-0.4346607	0.9005943	0.0
2018-05-19 12:29:36:043	1526704176043	72.14203	0.937697	0.0	0.97340477	0.22909199	0.0
2018-05-19 12:29:41:063	1526704181063	80.85405	1.000501	0.0	0.55970156	0.8286943	0.0
2018-05-19 12:29:46:083	1526704186083	79.89123	0.886439	0.0	0.9218559	-0.38753277	0.0
2018-05-19 12:29:51:106	1526704191106	70.571365	0.935384	0.0	-0.62730557	-0.77877325	0.0
2018-05-19 12:29:56:122	1526704196122	81.49093	0.928954	0.0	-0.75413406	0.6567205	0.0
2018-05-19 12:30:01:138	1526704201138	78.087654	0.851793	0.0	0.977077	-0.21288614	0.0
2018-05-19 12:30:06:161	1526704206161	92.16115	1.007416	0.0	-0.9374615	-0.34808898	0.0
2018-05-19 12:30:11:180	1526704211180	85.249725	0.771565	0.0	-0.045885257	-0.9989467	0.0
2018-05-19 12:30:16:201	1526704216201	87.749954	1.084633	0.0	0.9806147	-0.19594578	0.0
2018-05-19 12:30:21:218	1526704221218	85.015205	0.920066	0.0	-0.3426902	0.9394485	0.0
2018-05-19 12:30:26:237	1526704226237	83.16021	0.957241	0.0	0.89198726	0.4520605	0.0
2018-05-19 12:30:31:255	1526704231255	86.00365	1.048603	0.0	-0.2564572	0.9665556	0.0
2018-05-19 12:30:36:271	1526704236271	86.884254	1.008884	0.0	0.68296206	0.73045385	0.0
2018-05-19 12:30:41:289	1526704241289	95.915184	0.985482	0.0	0.73244774	-0.68082327	0.0
2018-05-19 12:30:46:304	1526704246304	89.70185	0.905921	0.0	-0.69098186	0.7228721	0.0
2018-05-19 12:30:51:322	1526704251322	93.77473	0.889668	0.0	-0.17304924	0.9849132	0.0
2018-05-19 12:30:56:340	1526704256340	91.00163	0.797276	0.0	0.85218275	-0.52324426	0.0
2018-05-19 12:31:01:360	1526704261360	97.00258	1.100721	0.0	0.8797595	0.47541904	0.0
2018-05-19 12:31:06:383	1526704266383	96.774864	1.072602	0.0	0.99674505	-0.08061818	0.0
2018-05-19 12:31:11:401	1526704271401	98.13612	0.788965	0.0	-0.9997311	-0.023188218	0.0
2018-05-19 12:31:16:437	1526704276437	97.900955	1.083036	0.0	0.988191	-0.15322699	0.0
2018-05-19 12:31:21:454	1526704281454	94.93975	0.732845	0.0	0.9613777	0.27523258	0.0
2018-05-19 12:31:26:472	1526704286472	100.75403	0.897341	0.0	-0.6090106	0.7931621	0.0
2018-05-19 12:31:31:492	1526704291492	97.90628	0.854969	0.0	-0.99289274	-0.119012736	0.0
2018-05-19 12:31:36:507	1526704296507	94.26012	0.0	0.0	-0.43953812	-0.89822394	0.0
2018-05-19 12:31:41:522	1526704301522	111.17904	0.97339	0.0	-0.66266054	0.7489199	0.0
2018-05-19 12:31:46:538	1526704306538	125.18015	0.908726	0.0	0.15183845	-0.98840535	0.0
2018-05-19 12:31:51:553	1526704311553	118.466644	0.946521	0.0	-0.09548262	-0.99543107	0.0
2018-05-19 12:31:56:570	1526704316570	127.17959	1.01918	0.0	-0.3974934	-0.91760504	0.0
2018-05-19 12:32:01:587	1526704321587	129.84828	1.113968	0.0	0.59653324	0.8025884	0.0
2018-05-19 12:32:06:607	1526704326607	126.90456	0.819827	0.0	-0.15487632	0.9879339	0.0
2018-05-19 12:32:11:641	1526704331641	126.826126	1.143237	0.0	0.5607668	0.8279738	0.0
2018-05-19 12:32:16:668	1526704336668	121.706665	1.010254	0.0	0.75544786	0.65520877	0.0
2018-05-19 12:32:21:688	1526704341688	134.26657	0.966781	0.0	-0.85923374	0.5115832	0.0
2018-05-19 12:32:26:709	1526704346709	125.960754	0.976524	0.0	0.8043678	0.5941317	0.0
2018-05-19 12:32:31:734	1526704351734	140.93143	1.01482	0.0	-0.99534124	0.09641484	0.0
2018-05-19 12:32:36:759	1526704356759	124.249916	0.824465	0.0	-0.32677343	-0.9451027	0.0
2018-05-19 12:32:41:777	1526704361777	130.12645	0.978923	0.0	0.89134663	-0.4533224	0.0
2018-05-19 12:32:46:797	1526704366797	122.239494	0.850229	0.0	-0.71692616	-0.6971491	0.0
2018-05-19 12:32:51:808	1526704371808	107.18916	1.105406	0.0	0.046988707	0.9988954	0.0
2018-05-19 12:32:56:821	1526704376821	131.86807	0.662915	0.0	0.92310876	0.384539	0.0
2018-05-19 12:33:01:836	1526704381836	122.94369	1.011557	0.0	0.3493565	-0.93698984	0.0
2018-05-19 12:33:06:852	1526704386852	124.83308	0.980129	0.0	0.6171836	0.78681916	0.0
2018-05-19 12:33:11:867	1526704391867	118.45981	0.862191	0.0	-0.29402307	0.9557983	0.0
2018-05-19 12:33:16:885	1526704396885	118.45981	0.750744	0.0	-0.72069097	-0.69325644	0.0
